Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Thief Dagger,13.97,15.44,20.58,21.32,11.03,11.03,11.03,24.26,24.26,24.26,17.45,19.29,25.73,26.64,13.77,13.77,13.77,30.31,30.31,30.31,19.55,21.61,28.81,29.84,15.44,15.44,15.44,33.96,33.96,33.96,13.97,15.44,20.58,21.32,11.03,11.03,11.03,24.26,24.26,24.26,15.08,16.67,22.23,23.02,11.91,11.91,11.91,26.20,26.20,26.20,18.85,20.83,15.08,16.67,22.23,11.17,11.17,18.15,20.07,26.75,27.71,14.70,14.70,14.70
Thorned Greatsword,28.60,31.61,42.14,43.65,22.58,22.58,22.58,49.67,49.67,49.67,35.73,39.49,52.68,54.54,28.20,28.20,28.20,62.07,62.07,62.07,40.03,44.25,59.00,61.10,31.61,31.61,31.61,69.53,69.53,69.53,28.60,31.61,42.14,43.65,22.58,22.58,22.58,49.67,49.67,49.67,30.88,34.13,45.51,47.14,24.38,24.38,24.38,53.64,53.64,53.64,38.59,42.65,30.88,34.13,45.51,22.88,22.88,37.17,41.09,54.78,56.74,30.10,30.10,30.10
Tower Shield,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,32.41,35.82,47.78,49.47,25.58,25.58,25.58,56.29,56.29,56.29,36.31,40.13,53.51,55.42,28.67,28.67,28.67,63.06,63.06,63.06,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,28.01,30.96,41.28,42.75,22.11,22.11,22.11,48.65,48.65,48.65,35.00,38.68,28.01,30.96,41.28,20.75,20.75,33.72,37.26,49.69,51.46,27.30,27.30,27.30
Transgressor's Leather Shield,17.20,19.01,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,21.48,23.75,31.68,32.80,16.96,16.96,16.96,37.32,37.32,37.32,24.07,26.61,35.48,36.74,19.01,19.01,19.01,41.81,41.81,41.81,17.20,19.01,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,18.57,20.53,27.37,28.34,14.66,14.66,14.66,32.25,32.25,32.25,23.20,25.65,18.57,20.53,27.37,13.76,13.76,22.35,24.71,32.94,34.12,18.10,18.10,18.10
Transgressor's Staff,23.94,26.46,26.46,27.41,14.18,14.18,14.18,31.19,31.19,31.19,29.91,33.06,33.08,34.25,17.71,17.71,17.71,38.97,38.97,38.97,25.14,27.78,37.04,38.37,19.85,19.85,19.85,43.66,43.66,43.66,17.96,19.85,26.46,27.41,14.18,14.18,14.18,31.19,31.19,31.19,25.86,28.58,28.58,29.60,15.31,15.31,15.31,33.68,33.68,33.68,24.23,26.78,19.39,21.43,28.58,14.36,14.36,23.34,25.80,34.40,35.63,18.90,18.90,18.90
Twin Dragon Greatshield,21.85,24.15,32.20,33.35,17.25,17.25,17.25,37.95,37.95,37.95,27.30,30.18,40.25,41.68,21.55,21.55,21.55,47.43,47.43,47.43,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,21.85,24.15,32.20,33.35,17.25,17.25,17.25,37.95,37.95,37.95,23.60,26.08,34.78,36.02,18.63,18.63,18.63,40.99,40.99,40.99,29.49,32.59,23.60,26.08,34.78,17.48,17.48,28.41,31.40,41.86,43.36,23.00,23.00,23.00
Twin-headed Greatbow,96.62,106.79,142.38,147.47,19.05,19.05,19.05,41.91,41.91,41.91,120.72,133.43,177.98,184.28,23.80,23.80,23.80,52.37,52.37,52.37,33.78,37.34,49.78,51.56,26.67,26.67,26.67,58.67,58.67,58.67,24.13,26.67,35.56,36.83,19.05,19.05,19.05,41.91,41.91,41.91,104.34,115.33,153.77,159.26,20.57,20.57,20.57,45.26,45.26,45.26,32.56,35.99,26.06,28.80,38.40,19.30,19.30,31.37,34.67,46.23,47.88,25.40,25.40,25.40
Twinblade,22.99,25.41,33.88,35.09,18.15,18.15,18.15,39.93,39.93,39.93,28.73,31.75,42.35,43.85,22.68,22.68,22.68,49.90,49.90,49.90,32.19,35.57,47.43,49.13,25.41,25.41,25.41,55.90,55.90,55.90,22.99,25.41,33.88,35.09,18.15,18.15,18.15,39.93,39.93,39.93,24.83,27.44,36.59,37.90,19.60,19.60,19.60,43.12,43.12,43.12,31.02,34.29,24.83,27.44,36.59,18.39,18.39,29.89,33.03,44.04,45.62,24.20,24.20,24.20
Uchigatana,23.94,26.46,35.28,36.54,18.90,18.90,18.90,41.58,41.58,41.58,29.91,33.06,44.10,45.66,23.61,23.61,23.61,51.96,51.96,51.96,33.52,37.04,49.39,51.16,26.46,26.46,26.46,58.21,58.21,58.21,23.94,26.46,35.28,36.54,18.90,18.90,18.90,41.58,41.58,41.58,25.86,28.58,38.10,39.46,20.41,20.41,20.41,44.91,44.91,44.91,32.31,35.71,25.86,28.58,38.10,19.15,19.15,31.12,34.40,45.86,47.50,25.20,25.20,25.20
Umbral Dagger,13.87,15.33,20.44,21.17,10.95,10.95,10.95,24.09,24.09,24.09,17.33,19.16,25.55,26.46,13.68,13.68,13.68,30.11,30.11,30.11,19.42,21.46,28.62,29.64,15.33,15.33,15.33,33.73,33.73,33.73,13.87,15.33,20.44,21.17,10.95,10.95,10.95,24.09,24.09,24.09,14.98,16.56,22.08,22.86,11.83,11.83,11.83,26.02,26.02,26.02,18.72,20.69,14.98,16.56,22.08,11.10,11.10,18.03,19.93,26.57,27.52,14.60,14.60,14.60
Vanquisher's Seal,16.44,18.17,24.22,25.09,12.98,12.98,12.98,28.55,28.55,28.55,20.54,22.70,30.28,31.35,16.21,16.21,16.21,35.67,35.67,35.67,23.01,25.43,33.91,35.12,18.17,18.17,18.17,39.96,39.96,39.96,16.44,18.17,24.22,25.09,12.98,12.98,12.98,28.55,28.55,28.55,17.75,19.62,26.16,27.09,14.01,14.01,14.01,30.83,30.83,30.83,22.18,24.51,17.75,19.62,26.16,13.15,13.15,21.37,23.61,31.49,32.61,17.30,17.30,17.30
Varangian Sword,20.90,23.10,30.80,31.90,16.50,16.50,16.50,36.30,36.30,36.30,26.11,28.86,38.50,39.86,20.61,20.61,20.61,45.36,45.36,45.36,29.26,32.34,43.12,44.66,23.10,23.10,23.10,50.82,50.82,50.82,20.90,23.10,30.80,31.90,16.50,16.50,16.50,36.30,36.30,36.30,22.57,24.95,33.26,34.45,17.82,17.82,17.82,39.20,39.20,39.20,28.20,31.17,22.57,24.95,33.26,16.72,16.72,27.17,30.03,40.04,41.47,22.00,22.00,22.00
Vessel Shield,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,28.01,30.96,41.30,42.76,22.11,22.11,22.11,48.66,48.66,48.66,31.39,34.69,46.26,47.91,24.78,24.78,24.78,54.52,54.52,54.52,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,24.21,26.76,35.68,36.96,19.12,19.12,19.12,42.06,42.06,42.06,30.26,33.44,24.21,26.76,35.68,17.94,17.94,29.15,32.21,42.95,44.49,23.60,23.60,23.60
Warped Sword,20.43,22.58,30.10,31.18,16.13,16.13,16.13,35.48,35.48,35.48,25.52,28.21,37.63,38.96,20.15,20.15,20.15,44.33,44.33,44.33,28.60,31.61,42.14,43.65,22.58,22.58,22.58,49.67,49.67,49.67,20.43,22.58,30.10,31.18,16.13,16.13,16.13,35.48,35.48,35.48,22.06,24.38,32.51,33.67,17.42,17.42,17.42,38.31,38.31,38.31,27.56,30.47,22.06,24.38,32.51,16.34,16.34,26.55,29.35,39.13,40.53,21.50,21.50,21.50
Washing Pole,31.16,34.44,45.92,47.56,24.60,24.60,24.60,54.12,54.12,54.12,38.93,43.03,57.40,59.43,30.73,30.73,30.73,67.63,67.63,67.63,43.62,48.22,64.29,66.58,34.44,34.44,34.44,75.77,75.77,75.77,31.16,34.44,45.92,47.56,24.60,24.60,24.60,54.12,54.12,54.12,33.65,37.20,49.59,51.36,26.57,26.57,26.57,58.45,58.45,58.45,42.05,46.48,33.65,37.20,49.59,24.93,24.93,40.51,44.77,59.70,61.83,32.80,32.80,32.80
Watchdragon Parma,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,28.01,30.96,41.30,42.76,22.11,22.11,22.11,48.66,48.66,48.66,31.39,34.69,46.26,47.91,24.78,24.78,24.78,54.52,54.52,54.52,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,24.21,26.76,35.68,36.96,19.12,19.12,19.12,42.06,42.06,42.06,30.26,33.44,24.21,26.76,35.68,17.94,17.94,29.15,32.21,42.95,44.49,23.60,23.60,23.60
Watcher Greatsword,25.27,27.93,37.24,38.57,19.95,19.95,19.95,43.89,43.89,43.89,31.57,34.90,46.55,48.20,24.92,24.92,24.92,54.85,54.85,54.85,35.38,39.10,52.14,54.00,27.93,27.93,27.93,61.45,61.45,61.45,25.27,27.93,37.24,38.57,19.95,19.95,19.95,43.89,43.89,43.89,27.29,30.16,40.22,41.66,21.55,21.55,21.55,47.40,47.40,47.40,34.10,37.69,27.29,30.16,40.22,20.22,20.22,32.85,36.31,48.41,50.14,26.60,26.60,26.60
Watcher's Shield,15.87,17.54,23.38,24.22,12.53,12.53,12.53,27.56,27.56,27.56,19.82,21.91,29.23,30.26,15.65,15.65,15.65,34.44,34.44,34.44,22.21,24.55,32.73,33.90,17.54,17.54,17.54,38.58,38.58,38.58,15.87,17.54,23.38,24.22,12.53,12.53,12.53,27.56,27.56,27.56,17.13,18.94,25.25,26.15,13.53,13.53,13.53,29.76,29.76,29.76,21.41,23.66,17.13,18.94,25.25,12.69,12.69,20.62,22.80,30.39,31.48,16.70,16.70,16.70
Whip,19.48,21.53,28.70,29.73,15.38,15.38,15.38,33.83,33.83,33.83,24.33,26.90,35.88,37.15,19.21,19.21,19.21,42.27,42.27,42.27,27.27,30.14,40.18,41.62,21.53,21.53,21.53,47.36,47.36,47.36,19.48,21.53,28.70,29.73,15.38,15.38,15.38,33.83,33.83,33.83,21.03,23.25,31.00,32.10,16.61,16.61,16.61,36.53,36.53,36.53,26.28,29.05,21.03,23.25,31.00,15.58,15.58,25.32,27.98,37.31,38.64,20.50,20.50,20.50
Wicked Eye Greatshield,24.99,27.62,36.82,38.14,19.73,19.73,19.73,43.40,43.40,43.40,31.22,34.51,46.03,47.66,24.64,24.64,24.64,54.23,54.23,54.23,34.98,38.66,51.55,53.39,27.62,27.62,27.62,60.75,60.75,60.75,24.99,27.62,36.82,38.14,19.73,19.73,19.73,43.40,43.40,43.40,26.98,29.82,39.77,41.19,21.30,21.30,21.30,46.87,46.87,46.87,33.72,37.27,26.98,29.82,39.77,19.99,19.99,32.48,35.90,47.87,49.58,26.30,26.30,26.30
Winged Spear,24.13,26.67,35.56,36.83,19.05,19.05,19.05,41.91,41.91,41.91,30.15,33.32,44.45,46.02,23.80,23.80,23.80,52.37,52.37,52.37,33.78,37.34,49.78,51.56,26.67,26.67,26.67,58.67,58.67,58.67,24.13,26.67,35.56,36.83,19.05,19.05,19.05,41.91,41.91,41.91,26.06,28.80,38.40,39.78,20.57,20.57,20.57,45.26,45.26,45.26,32.56,35.99,26.06,28.80,38.40,19.30,19.30,31.37,34.67,46.23,47.88,25.40,25.40,25.40
Witchtree Bellvine,24.51,27.09,25.48,26.39,13.65,13.65,13.65,30.03,30.03,30.03,30.62,33.85,31.85,32.98,17.05,17.05,17.05,37.53,37.53,37.53,24.21,26.75,35.67,36.95,19.11,19.11,19.11,42.04,42.04,42.04,17.29,19.11,25.48,26.39,13.65,13.65,13.65,30.03,30.03,30.03,26.47,29.26,27.52,28.50,14.74,14.74,14.74,32.43,32.43,32.43,23.33,25.79,18.67,20.64,27.52,13.83,13.83,22.48,24.84,33.12,34.31,18.20,18.20,18.20
Witchtree Branch,24.61,27.20,29.96,31.03,16.05,16.05,16.05,35.31,35.31,35.31,30.74,33.98,37.45,38.78,20.05,20.05,20.05,44.13,44.13,44.13,28.46,31.46,41.94,43.44,22.47,22.47,22.47,49.43,49.43,49.43,20.33,22.47,29.96,31.03,16.05,16.05,16.05,35.31,35.31,35.31,26.57,29.37,32.36,33.51,17.33,17.33,17.33,38.13,38.13,38.13,27.43,30.32,21.96,24.27,32.36,16.26,16.26,26.43,29.21,38.95,40.34,21.40,21.40,21.40
Wooden Shield,19.67,21.74,28.98,30.02,15.53,15.53,15.53,34.16,34.16,34.16,24.57,27.16,36.23,37.51,19.40,19.40,19.40,42.68,42.68,42.68,27.53,30.43,40.57,42.02,21.74,21.74,21.74,47.82,47.82,47.82,19.67,21.74,28.98,30.02,15.53,15.53,15.53,34.16,34.16,34.16,21.24,23.47,31.30,32.42,16.77,16.77,16.77,36.89,36.89,36.89,26.54,29.33,21.24,23.47,31.30,15.73,15.73,25.56,28.26,37.67,39.02,20.70,20.70,20.70
Work Hook,11.40,12.60,16.80,17.40,9.00,9.00,9.00,19.80,19.80,19.80,14.24,15.74,21.00,21.74,11.24,11.24,11.24,24.74,24.74,24.74,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,11.40,12.60,16.80,17.40,9.00,9.00,9.00,19.80,19.80,19.80,12.31,13.61,18.14,18.79,9.72,9.72,9.72,21.38,21.38,21.38,15.38,17.00,12.31,13.61,18.14,9.12,9.12,14.82,16.38,21.84,22.62,12.00,12.00,12.00
Wrathful Axe,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,38.22,42.25,56.35,58.35,30.17,30.17,30.17,66.40,66.40,66.40,42.83,47.33,63.11,65.37,33.81,33.81,33.81,74.38,74.38,74.38,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,33.04,36.51,48.69,50.43,26.08,26.08,26.08,57.38,57.38,57.38,41.28,45.63,33.04,36.51,48.69,24.47,24.47,39.77,43.95,58.60,60.70,32.20,32.20,32.20
Yellow Quartz Longsword,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,24.93,27.55,36.75,38.05,19.68,19.68,19.68,43.30,43.30,43.30,27.93,30.87,41.16,42.63,22.05,22.05,22.05,48.51,48.51,48.51,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,21.55,23.81,31.75,32.89,17.01,17.01,17.01,37.42,37.42,37.42,26.92,29.76,21.55,23.81,31.75,15.96,15.96,25.94,28.67,38.22,39.59,21.00,21.00,21.00
Yellow Quartz Shield,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,25.05,27.68,36.93,38.23,19.77,19.77,19.77,43.51,43.51,43.51,28.06,31.02,41.36,42.83,22.16,22.16,22.16,48.74,48.74,48.74,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,21.65,23.93,31.90,33.04,17.09,17.09,17.09,37.60,37.60,37.60,27.05,29.90,21.65,23.93,31.90,16.04,16.04,26.06,28.80,38.40,39.77,21.10,21.10,21.10
Yorgh's Spear,32.11,35.49,47.32,49.01,25.35,25.35,25.35,55.77,55.77,55.77,40.12,44.35,59.15,61.25,31.67,31.67,31.67,69.70,69.70,69.70,44.95,49.69,66.25,68.61,35.49,35.49,35.49,78.08,78.08,78.08,32.11,35.49,47.32,49.01,25.35,25.35,25.35,55.77,55.77,55.77,34.68,38.33,51.11,52.93,27.38,27.38,27.38,60.23,60.23,60.23,43.33,47.89,34.68,38.33,51.11,25.69,25.69,41.74,46.14,61.52,63.71,33.80,33.80,33.80
Zweihander,31.26,34.55,46.06,47.71,24.68,24.68,24.68,54.29,54.29,54.29,39.05,43.16,57.58,59.61,30.83,30.83,30.83,67.84,67.84,67.84,43.76,48.36,64.48,66.79,34.55,34.55,34.55,76.00,76.00,76.00,31.26,34.55,46.06,47.71,24.68,24.68,24.68,54.29,54.29,54.29,33.76,37.31,49.74,51.52,26.65,26.65,26.65,58.63,58.63,58.63,42.18,46.62,33.76,37.31,49.74,25.00,25.00,40.63,44.91,59.88,62.02,32.90,32.90,32.90
